RunLength,Color,CodeWord
0,White,00110101
1,White,000111
2,White,0111
3,White,1000
4,White,1011
5,White,1100
6,White,1110
7,White,1111
8,White,10011
9,White,10100
10,White,00111
11,White,01000
12,White,001000
13,White,000011
14,White,110100
15,White,110101
16,White,101010
17,White,101011
18,White,0100111
19,White,0001100
20,White,0001000
21,White,0010111
22,White,0000011
23,White,0000100
24,White,0101000
25,White,0101011
26,White,0010011
27,White,0100100
28,White,0011000
29,White,00000010
30,White,00000011
31,White,00011010
32,White,00011011
33,White,00010010
34,White,00010011
35,White,00010100
36,White,00010101
37,White,00010110
38,White,00010111
39,White,00101000
40,White,00101001
41,White,00101010
42,White,00101011
43,White,00101100
44,White,00101101
45,White,00000100
46,White,00000101
47,White,00001010
48,White,00001011
49,White,01010010
50,White,01010011
51,White,01010100
52,White,01010101
53,White,00100100
54,White,00100101
55,White,01011000
56,White,01011001
57,White,01011010
58,White,01011011
59,White,01001010
60,White,01001011
61,White,00110010
62,White,00110011
63,White,00110100
0,Black,0000110111
1,Black,010
2,Black,11
3,Black,10
4,Black,011
5,Black,0011
6,Black,0010
7,Black,00011
8,Black,000101
9,Black,000100
10,Black,0000100
11,Black,0000101
12,Black,0000111
13,Black,00000100
14,Black,00000111
15,Black,000011000
16,Black,0000010111
17,Black,0000011000
18,Black,0000001000
19,Black,00001100111
20,Black,00001101000
21,Black,00001101100
22,Black,00000110111
23,Black,00000101000
24,Black,00000010111
25,Black,00000011000
26,Black,000011001010
27,Black,000011001011
28,Black,000011001100
29,Black,000011001101
30,Black,000001101000
31,Black,000001101001
32,Black,000001101010
33,Black,000001101011
34,Black,000011010010
35,Black,000011010011
36,Black,000011010100
37,Black,000011010101
38,Black,000011010110
39,Black,000011010111
40,Black,000001101100
41,Black,000001101101
42,Black,000011011010
43,Black,000011011011
44,Black,000001010100
45,Black,000001010101
46,Black,000001010110
47,Black,000001010111
48,Black,000001100100
49,Black,000001100101
50,Black,000001010010
51,Black,000001010011
52,Black,000000100100
53,Black,000000110111
54,Black,000000111000
55,Black,000000100111
56,Black,000000101000
57,Black,000001011000
58,Black,000001011001
59,Black,000000101011
60,Black,000000101100
61,Black,000001011010
62,Black,000001100110
63,Black,000001100111